0Dreamstars.ModTranslation-name|Mod de traducción
You are more heavy and durable in this state, and can withstand some damage.|Eres más pesado y resistente en este estado, y puedes aguantar algo de daño.
You can spit out rocks and empty your stomach to return to the Malnourished state.|Puedes escupir rocas y vaciar tu estómago para regresar al estado Desnutrido.
Balance achieved|Estabilidad alcanzada
Little Experiment?|¿Pequeño experimento?
Alone again...|Otra vez en soledad...
Oh...|Oh...
You should leave quickly before the rain crushes you.|Debes irte enseguida antes de que te aplaste la lluvia.
Quickly, find a shelter nearby. It will protect you from my rushing waters.|Rápido, encuentra un refugio cercano. Te protegerá de mis impetuosas aguas.
Please find some safety for yourself. I want to see you again.|Por favor, encuentra un lugar del que resguardarte. Quiero verte otra vez.
...Stars...|... Estrellas...
pretty|hermosas.
...Night... coming... Soon...|... Está por... ser de... noche...
Night... You can stay. It will be fine.|Noche... puedes quedarte. No va a pasar nada.
Night is coming. Now, leave me alone.|Está por ser de noche. Ahora déjame en paz.
Take your offspring with you.|Llévate a tu retoño contigo.
Take your pet with you.|Llévate a tu mascota contigo.
I think night is approaching.|Creo que la noche se aproxima.
You can stay if you like, <PlayerName>! It will be fine.<LINE>The stars are beautiful, somtimes it's hard to see them through the rain and snow..|¡Puedes quedarte si quieres, <PlayerName>! No va a pasar nada.<LINE>Las estrellas son hermosas, a veces son difíciles de ver por la lluvia y la nieve.
Your family is welcome to stargaze too!|¡También puedes hacer que tu familia contemple las estrellas!
Your friend is welcome to stargaze too!|¡También puedes hacer que tu amigo contemple las estrellas!
Why have you taken all i have?|¿Por qué te has llevado todo lo que tengo?
Give it to me.|Dámelo.
Please bring it back to me.|Por favor, devuélvemelo.
Go away|Vete.
I have not forgotten the pain you have given me.|No he olvidado el dolor que me has causado.
I have so little left. Why is it that you hurt me?|Me queda tan poco. ¿Por qué me haces daño?
Please leave me alone.|Por favor, déjame en paz.
Oh, little experiment!|Oh, ¡pequeño experimento!
I... don't even know what to say.|Yo... no sé ni qué decir.
Hm? You can understand me, can't you?|¿Hm? Puedes enterderme, ¿verdad?
Some solution you were while in that vegetative state.|Eras, en cierto punto, una solución mientras estabas en ese estado vegetativo.
I tried so hard to wake you; you were my last hope.|Intenté todo lo posible para despertarte, eras mi última esperanza.
But who am I to put such trust in a simple creature?|Pero quién soy yo como para dar dicha confianza a una simple criatura.
There is nothing you can do now, nothing left to save.|No hay nada que puedas hacer ahora, nada que salvar.
Though I would enjoy the company for a while longer before you move on, if you please.|Aunque disfrutaría de la compañía un rato más antes de que sigas avanzando, si me lo permites.
Hello again, little one.|Hola otra vez, pequeño.
I bet you're wondering how it came to be that you are my creation.|Apuesto a que te estás preguntando cómo es que resultaste ser de mi creación.
I took note of the persistence and... annoyance... of your kind repeatedly entering the floor of my chamber.|Tomé nota de la persistencia y... molestia... de los de tu especie entrando repetidamente al suelo de mi cámara.
No easy feat for just any creature, might I add.|Es toda una proeza para cualquier criatura, agregaría yo.
So, I deep-scanned one for myself to create a template and used the DNA scan to replicate my own.|Entonces, escaneé uno en profundidad para crear una plantilla y utilicé un escaneo de ADN para replicar el mío.
A method used by some of my old peers, you see...|Un método usado por algunos de mis viejos colegas, ¿entiendes?
//2983159427
Darkness|Oscuridad
The Darkness|La oscuridad
DARKNESS|OSCURIDAD
A slugcat that grows up in the dark because of an accident, whose eyesight is gradually replaced by hearing.<LINE>It has a high adaptability to the dark, and embarks on the journey to find the same kind<LINE> who were separately under the ground when it was a child.|Un gatobabosa que creció en la oscuridad a causa de un accidente, cuya vista fue reemplazada<LINE>gradualmente por la audición. Tiene una buena adaptabilidad a la oscuridad, y se embarca<LINE>en el viaje de encontrar a su misma especie que se ha separado debajo del suelo cuando era una cría.
//2987817211
Howling Rift|Hendidura Ventosa
//3003902112
The Tower|La Torre
//3014893271
Lush Mire|Lodazal Frondoso
Serene Grotto|Gruta Serena
//3016579669
Hallowed Grotto|Gruta Sagrada
Hallowed Depths|Profundidades Sagradas
Anchialine System|Formación Anquialina
Lost Facility|Instalación Perdida
Unstable System|Formación Inestable
Sealed Intelligence Unit|Unidad de Inteligencia Sellada
Research Station|Centro de Investigación
Dark Forest|Bosque Oscuro
Ancient Roots|Base Antigua
Hallowed Forest|Bosque Sagrado
Primordial Roots|Base Primordial
Lush Laboratory|Laboratorio Frondoso
Cicatrix|Cicatriz
Hallowed Caves|Cuevas Sagradas
Big Pebbles is watching|Grandes Guijarros está observando
Big Pebbles likes ruins too|A Grandes Guijarros también le gusta las ruinas
Big Pebbles is not disuaded by water|Grandes Guijarros no está disuadido por el agua
SCIENCE!|¡CIENCIA!
Big Pebbles does not like the implications of this subregion.|A Grandes Guijarros no le gusta las implicaciones de esta subregión
Moss Fields 2|Campos de Musgo 2
Mossy Depths|Profundidades Musgosas
Anchialine Moss|Musgo Anquialino
Lost Moss|Musgo Perdido
Unstable Moss|Musgo Inestable
Sealed Intelligence Moss|Musgo de Inteligencia Sellado
Feel the weight of the abyss|Siente el peso del abismo
Always watching Always watching Always watching Always watching Always watching|Siempre observando Siempre observando Siempre observando Siempre observando Siempre observando
The better one|Mejor que la primera
Feel the darkness of the abyss|Siente la oscuridad del abismo
//3022284148
Hanging Gardens|Jardines Colgantes
Enduring Sanctuary|Santuario Perdurable
Old Hanging Gardens|Jardines Colgantes Antiguos
//3026723782
Far Shore|Orilla Lejana
Woven Nest|Nido Tejido
Caldera|Caldera
Tidal Pools|Pozas de Marea
Void Vents|Conductos del Vacío
Lost Strand|Playa Perdida
//3103123670
Side House|Región Secundaria
Leviathan Cave|Cueva de Leviatanes
Abandoned Factory|Fábrica Abandonada
//3120035228
Forager|Recolector
The Forager|El Recolector
THE FORAGER|EL RECOLECTOR
A glutton capable of impressive mobility. Pride and indignance bring you to these frozen lands,<LINE>but surviving this expedition will require wits, tenacity, and use of your many tactical advantages.|Un comilón con una movilidad impresionante. El orgullo y la indignancia te llevan a estas tierras congeladas,<LINE>pero para sobrevivir en esta expedición requerirás de agudeza, tenacidad y uso de tus muchas ventajas tácticas.
Seeking to prove their worth and hone their skills,<LINE>the Forager sets out into the cold once more|Buscando probar su mérito y perfeccionar sus habilidades,<LINE>el Recolector parte hacia el frío una vez más.
//3147907848
Moss Fields|Campos de Musgo
//3186608452
A Non-Existent Place|Un Lugar Inexistente
No Significant Harassment|Acoso sin Importancia
No Significant Harassment (Memory Conflux)|Acoso sin Importancia (Confluencia de Recuerdos)
No Significant Harassment (The Boxroom)|Acoso sin Importancia (El Trastero)
No Significant Harassment (Multistage Amplifier)|Acoso sin Importancia (Amplificador de Múltiples Etapas)
No Significant Harassment (General Systems Bus)|Acoso sin Importancia (Bus de Sistemas Generales)
The pearl you carry may determine your ending.|La perla que llevas puede determinar tu final.
Please treat it with caution.|Trátala con precaución.
...|...
Oh... don't you want me to do this?|Oh... ¿no quieres que haga esto?
Um... I will continue.|Eh... continuaré.
No Significant Harassment's Transcription|Transcripción de Acoso sin Importancia
NSH: Good. Hope you can maintain the same level of proficiency and caution along the way.|ASI: Bien. Confío en que puedas mantener el mismo nivel de aptitud y prudencia a lo largo del camino.
NSH: Well done, but still, you need my help.|ASI: Bien hecho, pero todavía necesitas mi ayuda.
NSH: This can hardly let us satisfied, isn't it?|ASI: Esto apenas puede dejarnos satisfechos, ¿sabes?
NSH: There are not many opportunities left for us.|ASI: No nos quedan muchas oportunidades.
NSH: Be calm, your body can reach a level far beyond that.|ASI: Tranquilo, tu cuerpo puede alcanzar un nivel más allá de eso.
NSH: Learning to perfectly manipulate it is not difficult for your race.|ASI: Aprender a manipularlo perfectamente no es difícil para tu raza.
NSH: Concentrate, we just need more time.|ASI: Concéntrate, solo necesitamos más tiempo.
NSH: ......|ASI: ...
NSH: Is this any kind of acting out?|ASI: ¿Esto es alguna clase de rebeldía?
NSH: I have no intention of making us at odds. A quarter rain cycle - I hope you can recover later.|ASI: No tengo ninguna intención de enemistarnos. Un cuarto de ciclos de lluvia; espero que te puedas recuperar más adelante.
NSH: My messenger, I have no other choice in this matter. I can only hope to receive your understanding.|ASI: Mi mensajero, no tengo ninguna otra opción en este asunto. Solo espero recibir tu comprensión.
//3212425005
Spearslug|Lanzababosa
SPEARSLUG|LANZABABOSA
The Spearslug|El lanzababosa
A hybrid between organic and artificial.|Un híbrido entre lo orgánico y lo artificial.
by|de
If you wish to change the controls for making spears, or the Arti jump, go to input settings.|Si deseas cambiar los controles de creación de lanzas o el salto de Arti, ve a los ajustes de entrada.
Apex Predator|Superdepredador
Allows you to use Arti's jump/parry mechanics.|Te permite usar las mecánicas de salto/bloqueo de Arti.
Feed Using Spears|Alimentarte usando lanzas
Allows you to feed off thrown spears.|Te permite alimentarte de lanzas arrojadas.
Duel Wield|Empuñar dos lanzas
Allows you to duel-wield spears.|Te permite empuñar dos lanzas a la vez.
Enable Pups|Permitir crías
Allows pups to spawn naturally in-game.|Permite a las crías aparecer naturalmente durante la partida.
Make Spear|Crear lanza
//3221585921
Bioengineering Center|Centro de Bioingeniería
Towering Ruins|Ruinas Encumbradas
Bioengineering Center (The Underground)|Centro de Bioingeniería (El Subsuelo)
Cabinet|Gabinete
POPSNAIL HEAVEN|PARAÍSO DE EXPLOSIONES DE CARACOL
MORE POPSNAIL HEAVEN|PARAÍSO DE MÁS EXPLOSIONES DE CARACOL
Welcome to the underground how was the fall if you wanna look around give us a call we don't see humans often we're happy you're just talking i'll be so popular when I show all the monsters what I just brought in|Bienvenido al subsuelo cómo le fue la caída si quiere recorrer el lugar háganos una llamada no vemos humanos todos los días estamos contentos de que simplemente estés hablando seré muy popular cuando les muestre a todos los monstruos lo que me acabo de comprar
That place you will never reach lol|Ese lugar que nunca llegarás xd
Forgotten Factories|Fábricas Abandonadas
Snowy Ruins|Ruinas Nevadas
Old Canals|Canales Antiguos
//3229249922
Citadel|Ciudadela
The Support|El Soporte
BRIGHTENED CITADEL|CIUDADELA ILUMINADA
The Leg 2|La Pata 2
//3232063592
Chasing Wind|Persiguiendo al Viento
Chasing Wind (Main Processing Cortex)|Persiguiendo al Viento (Córtex de Procesamiento Principal)
Chasing Wind (Lymphatic Conduits)|Persiguiendo al Viento (Conductos Linfáticos)
Chasing Wind (Memory Conflux)|Persiguiendo al Viento (Confluencia de Recuerdos)
Chasing Wind (Inner Wall)|Persiguiendo al Viento (Muro Interno)
The Anchor|El Áncora
Chatoyant Waterfalls|Cataratas Chatoyantes
After all this time, a lifeline. Thank you.|Una neurona salvavidas, después de todo este tiempo. Gracias.
I'll never feel the power I once had, but this is something to sustain an old soul.|Nunca tendré la capacidad que alguna vez tuve, pero con esto puedo sustentar una vieja alma.
You get these at Five Pebbles'?<LINE>Thank you <little creature>, but please, leave Five Pebbles be.|¿Las estás obteniendo de la superestructura de Cinco Guijarros?<LINE>Gracias, <little creature>, pero, por favor, deja a Cinco Guijarros en paz.
I am grateful - the relief is indescribable!|Estoy agradecida, ¡el alivio es indescriptible!
Thank you again <little creature>, but please, leave Five Pebbles be.|Gracias otra vez, <little creature>, pero, por favor, deja a Cinco Guijarros en paz.
Neither of us are well. We have both lost more than we could ever recover from.|Ninguno de nosotros se encuentra bien. Ambos hemos perdido más de lo que podríamos recuperar jamás.
It is for the best that our circumstances are not agitated.|Es para bien que nuestras circunstancias no sean perturbadas.
You get these at Five Pebbles'?<LINE>Thank you so much. I'm sure he won't mind.|¿Las estás obteniendo de la superestructura de Cinco Guijarros?<LINE>Muchas gracias. Seguro que a él no le importa.
Or actually I'm sure he would, but he has so many of these~<LINE>it doesn't do him any difference.<LINE>For me though, it does! Thank you, little creature!|O, bueno, probablemente sí le importe, ¡pero tiene tantas de estas!<LINE>No le va a hacer mucha diferencia. ¡Aunque para mí sí! ¡Gracias, criaturita!
It is strange... I'm remembering myself, but also... someone else.|Es extraño... Me acuerdo de mí, pero también recuerdo... a alguien más.
Met Chasing Wind|Has conocido a Persiguiendo al Viento
Brought Moon's message to Chasing Wind|Mensaje de Luna traído a Persiguiendo al Viento
Brought the slag keys to Chasing Wind|Llaves de escoria traídas a Persiguiendo al Viento
Unique pearls read by Chasing Wind : |Perlas únicas leídas por Persiguiendo al Viento: 
//3254167010
The grinder|La Trituradora
Kern|Kern
Crucible|Crisol
Power rail|Riel de Energía
room where stuff happens|sala donde pasan cosas
//3257541402
Meow|Maullar
//3262661679
Oracle|Oráculo
The Oracle|El oráculo
THE ORACLE|EL ORÁCULO
gay ppl say what|los gay dicen qué?
=)|=)
The =)|El =)
If you are seeing this, something went very wrong.|Si estás viendo esto, algo salió muy mal.
Reverberation|Reverberación
The Reverberation|La reverberación
THE REVERBERATION|LA REVERBERACIÓN
A slugpup that is sensitive to light.<LINE>The world is quite vast, but you are not alone.|Una cría de gatobabosa que es sensible a la luz.<LINE>El mundo es muy vasto, pero no estás solo.
Unbound|Suelto
The Unbound|El suelto
THE UNBOUND|EL SUELTO
An anxious entomophage that made many foes.<LINE>Jump like a Cyan in order to fight or change their opinions, the choice is yours.|Un entomófago inquieto que hizo muchos enemigos.<LINE>Salta como un lagarto cian para hacerles cambiar de opinión, la elección es tuya.
Tower of Babel|Torre de Babel
Merlon|Merlón
The Grand Ark|El Gran Arca
Memory of a Corpse|Recuerdo de un Cadáver
Silent Heart|Corazón Silencioso
Broken Voice|Voz Rota
Arteries|Arterias
The City|La Ciudad
Putrescine Reservoir|Embalse de Putrescina
Rigir Mortis|Rigir Mortis
The Quiet|La Tranquila
Star That Guides|Estrella que Guía
//3288406859
Sacrifice|Sacrificio
The Sacrifice|El sacrificio
THE SACRIFICE|EL SACRIFICIO
A frail creature, sent unprepared into a harsh and unforgiving world, to an unknown fate...|Una criatura débil, enviada desprevenida a un mundo hostil y despiadado, a un destino desconocido...
Executioner|Verdugo
The Executioner|El verdugo
THE EXECUTIONER|EL VERDUGO
(WIP) A massive, powerful beast, intent on crushing and devouring the unworthy.|(WIP) Una bestia descomunal y poderosa, decidida a aplastar y devorar a los indignos.
Hermit|Ermitaño
The Hermit|El ermitaño
THE HERMIT|EL ERMITAÑO
(WIP) A snail slugcat, whose powerful snailpop and strong arms stand in contrast to its unassuming appearance.|(WIP) Un gatobabosa caracol, cuyas explosiones de caracol y fuertes brazos<LINE>contrastan con su modesta apariencia.
Firmament Basilica|Basílica del Firmamento
Sacrifice Interactions:|Interacciones del Sacrificio:
(jump) + (grab) to boostjump|(saltar) + (agarrar) para saltar más alto
Hold (grab) to chirp and stun small insects or attract attention|Mantener pulsado (agarrar) para chirriar y aturdir pequeños insectos o atraer la atención
Hold (up) + (throw) at full food pips to switch modes|Mantener pulsado (arriba) + (lanzar) con los puntos de comida llenos para cambiar de modo
Executioner Interactions:|Interacciones del Verdugo:
Swallow rocks to craft electric bomb (cost = 1 food pip)|Tragar rocas para fabricar bombas eléctricas (coste = 1 punto de comida)
Hold (grab) + (up) with the bomb to convert it to charges|Mantener pulsado (agarrar) + (arriba) con la bomba para convertirla en cargas
(jump) + (grab) to dash with charges|(saltar) + (agarrar) para hacer dash con cargas
The circles over your head display charge amount|Los círculos sobre tu cabeza muestran la cantidad de cargas
Hermit Interactions:|Interacciones del Ermitaño:
(jump) + (grab) to prepare a snailpop|(saltar) + (agarrar) para preparar una explosión de caracol
Your shell can deflect spears|Tu caparazón puede desviar lanzas
Roll infinitely, and slam into enemies from a roll for an attack|Rodar infinitamente y estrellarse contra enemigos
...|...
... M-My thoughts... flooding b-b-back... A... Neuron? Mine?|... Mi-Mis pensamientos... regresa-sa-sando... ¿Una... Neurona? ¿Mía?
... No... A creature of... s-some sort...|... No... Una criatura de... a-algún tipo...
... What are you...? That color... You're formatted to me...|... ¿Qué eres?... Ese color... Estás formateado para mí...
And yet... Your data... These memories...|Aunque... Tus datos... Estos recuerdos...
A gift...?|¿Un obsequio?...
Suns... why such a method...? It can't be...|Soles... ¿por qué tal método?... No puede ser...
... Just so... I can live a little longer...?|... ¿Solo para... poder vivir un poco más?...
I don't know what will become of us. It may be pointless.|No sé qué será de nosotros. Puede ser vano.
... I don't want to be alone... not again, lost and unthinking...|... No quiero estar sola... no de nuevo, perdida e irreflexiva.
... Thank you for... making this journey to me.|... Gracias por... hacer este viaje hacia mí.
But I don't... I don't know if it matters.|Pero no... no sé si lo vale.
You won't survive in the cold like this. Not with your current form.|No sobrevivirás en un frío así. No con tu forma actual.
I don't think there's anything that can be done... I don't have the power to help you or myself.|No creo que haya nada que se pueda hacer...<LINE>No tengo el poder para ayudarte ni para ayudarme a mí misma.
I'm sorry, my friend...|Lo siento, mi amigo...
.|.
... Nothing here...|... Nada aquí...
Nothing left...|No queda nada...
Get away...|Vete...
To safety... far from here...|A un lugar seguro... lejos de acá...
..West... Old tunnels...|... Oeste... Viejos túneles...
Maybe... gate... destroyed enough... to allow passage...|Quizá... puerta... suficiente destruida... para permitir paso...
You are... one of the more interesting creatures to enter this chamber.|Eres... una de las criaturas más interesantes que haya entrado en esta cámara...
That color... did Pebbles make you?|Ese color... ¿te hizo Guijarros?
I would have thought such a thing impossible, given the state that he's in.|Hubiera pensado tal cosa imposible, dado el estado en el que se encuentra.
I don't know how or why you've found your way to me.|No sé cómo ni por qué has encontrado tu camino hacia mí.
You're not bearing any message or data, aside from your basic functions,|No llevas ningún mensaje ni información, aparte de tus funciones básicas,
so I don't believe you were sent to me purposefully. You don't even have recording functionality like an overseer would.|Así que 
You are a small and frail creature, not built for sustained life.|Eres una criatura pequeña y débil, no hecha para una vida duradera.
You must rely on wits to survive.|Debes confiar en tu ingenio para sobrevivir.
Hold (GRAB) to chirp.|Mantén pulsado (AGARRAR) para chirriar.
Press (GRAB)+(JUMP) together to boostjump.|Pulsa (AGARRAR)+(SALTAR) juntos para saltar más alto.
You can starve to change modes.|Puedes pasar hambre para cambiar de modo.
Holding (UP)+(THROW) together while at full food pips will also change modes.|Mantener pulsado (ARRIBA)+(LANZAR) juntos con los puntos de comida llenos también cambiará de modo.
Executioner is still WIP! Story will be made soon.|¡La campaña del Verdugo aún no está completa! La historia se hará pronto.
You can swallow rocks to make electric grenades for 1 pip.|Puedes tragar rocas para hacer granadas eléctricas a cambio de 1 punto de comida.
Hold (GRAB)+(UP) to charge yourself with the grenade.|Mantén pulsado (AGARRAR)+(ARRIBA) para cargarte con la granada.
Press (GRAB)+(JUMP) together to dash, if you have charges.|Pulsa (AGARRAR)+(SALTAR) juntos para hacer un dash, si tienes cargas.
Experiment with your abilities!|¡Experimenta con tus habilidades!
Hermit is still WIP! Story will be made soon.|¡La campaña del Ermitaño aún no está completa! La historia se hará pronto.
You must crawl, swim, and climb. Your arms make up for your lack of legs.|Debes arrastrarte, nadar y trepar. Tus brazos compensan tu falta de patas.
Your shell is a handy tool. It will help protect you.|Tu caparazón es una herramienta práctica. Te ayudará a protegerte.
Press (GRAB)+(JUMP) together to snailpop.|Pulsa (AGARRAR)+(SALTAR) juntos para hacer explosiones de caracol.
More to come soon!|¡Más por venir pronto!
//3289086902
Sunlit Power Plant|Central Eléctrica Soleada
Overgrown Transfer System|Sistema de Transferencia Frondoso
//3304867363
Forsaken Station|Estación Abandonada
Deep Lake|Lago Profundo
Forsaken Station (Auxiliary Storage)|Estación Abandonada (Almacenamiento Auxiliar)
Forsaken Station (Supply Network)|Estación Abandonada (Red de Suministros)
Mountain Railways|Vías Férreas Montañosas
Forlorn Valley|Valle Desolado
Pristine Lake|Lago Inmaculado
Underwood|Matas del Bosque
Summit Edge|Borde de la Cumbre
//3305713194
Community Gallery Region 2024|Explorador (2024)
The Community Gallery Region 2024|El explorador (2024)
COMMUNITY GALLERY REGION 2024|REGIÓN DE LA GALERÍA DE LA COMUNIDAD 2024
A collection of rooms submitted as part of the 2024 Leditor Month hosted by Nautillo.<LINE>You are equipped with many tools to assist you on your gallery room safari.|Una colección de salas enviadas como parte del Mes del Leditor 2024 organizado por Nautillo.<LINE>Estás equipado de muchas herramientas para ayudarte en tu safari de salas de galería.
Community Gallery 2024|Galería de la Comunidad 2024
Bridge|Puente
Suspended|Suspendido
Crypt|Cripta
Growth|Matorral
Shrouded|Envuelto
Monolith|Monolito
Respite|Respiro
Diseased|Enfermo
//3314072844
Probationary District 4B|Distrito Experimental 4B
Warp Hub|Centro de Puertas de Karma
//3316476691
Fog Gulch|Barranco de Niebla
Hadal Depths|Profundidades Hadales
That Great Sea|Ese Gran Mar
Lunar Byway|Camino Lunar
Star Tether|Atadura Estelar
Steaming Edifice|Edificación Humeante
Cold Dredge|Draga Fría
Living Energy|Energía Viviente
//3319024564
Rock|Roca
The Rock|La roca
THE ROCK|LA ROCA
A being of pure karmic attunement.<LINE>Your journey has already ended.|Un ser de pura sintonía kármica.<LINE>Tu viaje ya ha terminado.
//3323298843
Side World|Mundo Secundario
Side World (Suburban)|Mundo Secundario (Suburbano)
Side World (Dense Urban)|Mundo Secundario (Ciudad Necia)
Side World (Shadow Urban)|Mundo Secundario (Ciudad de las Sombras)
Side World (Garbage Wastes)|Mundo Secundario (Páramos de Residuos)
Side World (Drainage System)|Mundo Secundario (Sistema de Drenado)
Side World (Shoreline)|Mundo Secundario (Costa)
Side World (Root)|Mundo Secundario (Base)
Side World (Underhang)|Mundo Secundario (Desnivel)
Side World (Wall)|Mundo Secundario (Muro)
Side World (Superstructure)|Mundo Secundario (Superestructura)
Side World (Chimney Canopy)|Mundo Secundario (Dosel de Chimeneas)
Side World (Sky Islands)|Mundo Secundario (Islas Celestiales)
Side World (Linear Farms)|Mundo Secundario (Granjas Lineales)
Side World (Subterranean)|Mundo Secundario (Subterráneo)
Side World (Temple)|Mundo Secundario (Templo)
Side World (Hell Region)|Mundo Secundario (Región Infernal)
Side World (Lost City)|Mundo Secundario (Ciudad Perdida)
Side World (Looks to the Moon)|Mundo Secundario (Miras a la Luna)
Side World (Depths of Moon)|Mundo Secundario (Profundidades de Luna)
Side World (Moon Structure)|Mundo Secundario (Estructura de Luna)
Side World (Outer Expanse)|Mundo Secundario (Expansión Exterior)
Actual Rain World|Mundo Pluvial
I'm sorry (not really).|Lo siento (no realmente).
You can unlock the rest of this message for 5.99$!|¡Puedes desbloquear el resto de este mensaje por $5,99!
House of sus.|Casa de los sus.
This is the only thing you can see clearly lol|Esto es lo único que puedes ver claramente xd
Don't look down!|¡No mires abajo!
The Cave Salamander will rise again.|La Salamandra de Cueva resurgirá.
01101010100101011101010100101110101101000110100101101101001011010110100011010010110110100101010111010100010101101101001011011001101010100101011101010100101110101|01101010100101011101010100101110101101000110100101101101001011010110100011010010110110100101010111010100010101101101001011011001101010100101011101010100101110101
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
I'm on break.|Estoy en mi descanso.
RELEASE ME!|¡LIBÉRAME!
